Order_ID,Customer_ID,Order_Date,Order_Amount,Category,Order_Status
ORD-0001,CUST-082,2024-11-13,43078.25,Electronics,Pending
ORD-0002,CUST-015,2024-03-20,49506.55,Clothing,Cancelled
ORD-0003,CUST-004,2024-05-01,15616.32,Clothing,Cancelled
ORD-0004,CUST-095,2024-03-24,31240.85,Electronics,Completed
ORD-0005,CUST-036,2024-03-31,30676.73,Grocery,Completed
ORD-0006,CUST-032,2024-07-30,37134.42,Electronics,Completed
ORD-0007,CUST-029,2024-01-13,47405.71,Clothing,Completed
ORD-0008,CUST-018,2024-04-01,10785.5,Grocery,Completed
ORD-0009,CUST-095,2024-06-19,10945.75,Furniture,Completed
ORD-0010,CUST-014,2024-07-29,33191.19,Appliances,Completed
ORD-0011,CUST-087,2024-12-08,8274.33,Appliances,Cancelled
ORD-0012,CUST-095,2024-05-07,9103.77,Electronics,Completed
ORD-0013,CUST-070,2024-05-16,4215.71,Appliances,Pending
ORD-0014,CUST-012,2024-03-22,632.45,Electronics,Cancelled
ORD-0015,CUST-076,2024-12-25,22799.93,Electronics,Completed
ORD-0016,CUST-055,2024-02-25,29893.65,Appliances,Pending
ORD-0017,CUST-005,2024-07-14,14917.33,Appliances,Completed
ORD-0018,CUST-004,2024-01-20,11958.07,Furniture,Cancelled
ORD-0019,CUST-012,2024-08-28,35494.31,Furniture,Completed
ORD-0020,CUST-028,2024-04-23,35297.88,Grocery,Pending
ORD-0021,CUST-030,2024-04-12,22974.55,Furniture,Cancelled
ORD-0022,CUST-065,2024-08-23,34525.55,Electronics,Completed
ORD-0023,CUST-078,2024-06-28,46233.6,Electronics,Completed
ORD-0024,CUST-004,2024-06-05,39497.49,Clothing,Completed
ORD-0025,CUST-072,2024-04-26,31440.37,Appliances,Completed
ORD-0026,CUST-026,2024-04-24,33228.56,Grocery,Completed
ORD-0027,CUST-092,2024-01-13,46716.59,Appliances,Completed
ORD-0028,CUST-084,2024-12-03,21544.38,Appliances,Completed
ORD-0029,CUST-090,2024-04-08,27455.84,Electronics,Completed
ORD-0030,CUST-070,2024-07-23,32557.92,Appliances,Cancelled
ORD-0031,CUST-054,2024-06-17,45466.37,Clothing,Completed
ORD-0032,CUST-029,2024-05-22,41418.24,Furniture,Completed
ORD-0033,CUST-058,2024-02-05,4034.79,Furniture,Cancelled
ORD-0034,CUST-076,2024-05-22,8713.18,Clothing,Completed
