Payment_ID,Order_ID,Payment_Date,Payment_Amount,Payment_Method
PAY-0001,ORD-0289,2024-11-17,33805.0,UPI
PAY-0002,ORD-0337,2024-11-27,6546.91,Credit Card
PAY-0003,ORD-0017,2024-07-16,14917.33,Net Banking
PAY-0004,ORD-0092,2024-08-04,38119.53,Net Banking
PAY-0005,ORD-0476,2024-07-24,38953.36,UPI
PAY-0006,ORD-0436,2024-09-05,36192.5,UPI
PAY-0007,ORD-0162,2024-10-12,26534.58,Credit Card
PAY-0008,ORD-0009,2024-06-21,10945.75,Credit Card
PAY-0009,ORD-0107,2024-10-23,45690.03,Cash
PAY-0010,ORD-0301,2024-07-09,3629.24,Credit Card
PAY-0011,ORD-0074,2024-12-08,14766.78,UPI
PAY-0012,ORD-0386,2024-10-11,24209.6,Net Banking
PAY-0013,ORD-0421,2024-12-25,3823.1,Net Banking
PAY-0014,ORD-0365,2024-08-18,39604.24,Credit Card
PAY-0015,ORD-0488,2024-05-10,37869.69,UPI
PAY-0016,ORD-0204,2024-12-24,43606.56,Net Banking
PAY-0017,ORD-0496,2024-09-27,20065.54,Net Banking
PAY-0018,ORD-0040,2024-10-04,34589.56,Debit Card
PAY-0019,ORD-0154,2024-02-27,49050.5,Net Banking
PAY-0020,ORD-0084,2024-07-29,49411.9,Net Banking
PAY-0021,ORD-0500,2024-06-01,10956.08,Cash
PAY-0022,ORD-0124,2024-11-20,14174.25,Debit Card
PAY-0023,ORD-0291,2024-05-04,29435.72,Debit Card
PAY-0024,ORD-0428,2024-04-08,29530.02,Debit Card
PAY-0025,ORD-0435,2024-04-21,43470.56,Cash
PAY-0026,ORD-0200,2024-03-12,28513.44,Cash
PAY-0027,ORD-0347,2024-12-28,28446.61,UPI
PAY-0028,ORD-0460,2024-11-25,35283.59,Cash
PAY-0029,ORD-0277,2024-10-06,7467.47,Net Banking
PAY-0030,ORD-0170,2024-10-14,17258.78,Net Banking
PAY-0031,ORD-0197,2024-06-15,19054.63,Cash
PAY-0032,ORD-0387,2024-01-06,20380.05,Net Banking
PAY-0033,ORD-0379,2024-07-01,2646.57,Credit Card
PAY-0034,ORD-0072,2024-08-10,16825.28,Cash
PAY-0035,ORD-0405,2024-04-25,42713.24,Cash
PAY-0036,ORD-0353,2024-05-18,16763.7,Debit Card
PAY-0037,ORD-0371,2024-07-16,26541.23,Credit Card
PAY-0038,ORD-0041,2024-06-20,35136.82,Credit Card
PAY-0039,ORD-0257,2024-11-28,25168.65,Debit Card
PAY-0040,ORD-0382,2024-05-23,26311.84,UPI
PAY-0041,ORD-0178,2024-08-18,36076.51,Cash
PAY-0042,ORD-0028,2024-12-06,21544.38,Net Banking
PAY-0043,ORD-0051,2024-08-12,48114.6,Cash
PAY-0044,ORD-0224,2024-09-04,10361.24,Net Banking
PAY-0045,ORD-0119,2024-12-05,19487.51,UPI
PAY-0046,ORD-0430,2024-03-05,16817.48,Net Banking
PAY-0047,ORD-0039,2024-12-16,6655.51,Cash
PAY-0048,ORD-0175,2024-09-18,43037.44,UPI
PAY-0049,ORD-0310,2024-01-16,4841.31,Cash
PAY-0050,ORD-0394,2024-10-13,3751.27,UPI
PAY-0051,ORD-0315,2024-07-23,37285.44,Debit Card
PAY-0052,ORD-0305,2024-02-28,20710.64,Cash
