Shipment_ID,Order_ID,Shipment_Date,Expected_Delivery,Shipment_Status
SHP-0001,ORD-0081,2024-09-18,2024-09-25,In Transit
SHP-0002,ORD-0186,2024-09-25,2024-09-29,Delivered
SHP-0003,ORD-0309,2024-10-26,2024-10-30,Delivered
SHP-0004,ORD-0368,2024-10-19,2024-10-25,Returned
SHP-0005,ORD-0419,2024-06-20,2024-06-22,Delivered
SHP-0006,ORD-0061,2024-05-13,2024-05-17,In Transit
SHP-0007,ORD-0339,2024-01-09,2024-01-11,Delivered
SHP-0008,ORD-0118,2024-03-30,2024-04-03,Returned
SHP-0009,ORD-0213,2024-08-27,2024-08-30,Delivered
SHP-0010,ORD-0416,2024-06-27,2024-07-02,Delivered
SHP-0011,ORD-0170,2024-10-16,2024-10-19,Delivered
SHP-0012,ORD-0369,2024-11-09,2024-11-16,Delivered
SHP-0013,ORD-0059,2024-10-24,2024-10-30,Delivered
SHP-0014,ORD-0247,2024-03-09,2024-03-15,Delivered
SHP-0015,ORD-0346,2024-08-26,2024-09-02,In Transit
SHP-0016,ORD-0246,2024-08-28,2024-09-02,Delivered
SHP-0017,ORD-0485,2024-10-16,2024-10-22,Delivered
SHP-0018,ORD-0108,2024-11-07,2024-11-12,Returned
SHP-0019,ORD-0303,2024-11-08,2024-11-14,Delivered
SHP-0020,ORD-0083,2024-12-09,2024-12-14,Delivered
SHP-0021,ORD-0332,2024-08-10,2024-08-13,Returned
SHP-0022,ORD-0427,2024-03-03,2024-03-10,Delivered
SHP-0023,ORD-0211,2024-06-19,2024-06-25,Delivered
SHP-0024,ORD-0012,2024-05-10,2024-05-17,Delivered
SHP-0025,ORD-0125,2024-11-14,2024-11-17,In Transit
SHP-0026,ORD-0023,2024-06-30,2024-07-07,In Transit
SHP-0027,ORD-0066,2024-09-26,2024-10-02,Returned
SHP-0028,ORD-0294,2024-12-09,2024-12-14,In Transit
SHP-0029,ORD-0304,2024-11-07,2024-11-14,Delivered
SHP-0030,ORD-0481,2024-12-20,2024-12-23,Delivered
SHP-0031,ORD-0069,2024-12-11,2024-12-13,Delivered
SHP-0032,ORD-0323,2024-12-25,2024-12-31,Delivered
SHP-0033,ORD-0263,2024-05-16,2024-05-18,Returned
SHP-0034,ORD-0021,2024-04-13,2024-04-17,Delivered
SHP-0035,ORD-0457,2024-05-30,2024-06-06,Delivered
SHP-0036,ORD-0473,2024-09-02,2024-09-06,Delivered
SHP-0037,ORD-0076,2024-11-17,2024-11-22,In Transit
SHP-0038,ORD-0029,2024-04-10,2024-04-15,Delivered
SHP-0039,ORD-0086,2024-07-28,2024-08-04,Delivered
SHP-0040,ORD-0133,2024-03-19,2024-03-23,Delivered
SHP-0041,ORD-0093,2024-12-07,2024-12-10,In Transit
SHP-0042,ORD-0265,2024-06-17,2024-06-20,Returned
SHP-0043,ORD-0208,2024-02-03,2024-02-05,Delivered
SHP-0044,ORD-0307,2024-06-11,2024-06-17,Delivered
SHP-0045,ORD-0289,2024-11-16,2024-11-22,Delivered
SHP-0046,ORD-0327,2024-03-05,2024-03-11,In Transit
SHP-0047,ORD-0010,2024-07-30,2024-08-05,Delivered
SHP-0048,ORD-0450,2024-12-29,2025-01-01,Returned
SHP-0049,ORD-0489,2024-03-04,2024-03-06,Delivered
SHP-0050,ORD-0373,2024-01-17,2024-01-19,In Transit
SHP-0051,ORD-0494,2024-11-15,2024-11-20,Returned
SHP-0052,ORD-0421,2024-12-26,2025-01-01,Delivered
SHP-0053,ORD-0146,2024-07-18,2024-07-23,Delivered
SHP-0054,ORD-0044,2024-05-16,2024-05-23,Returned
SHP-0055,ORD-0111,2024-08-28,2024-08-31,Delivered
SHP-0056,ORD-0230,2024-10-04,2024-10-09,Delivered
SHP-0057,ORD-0311,2024-06-10,2024-06-13,Delivered
SHP-0058,ORD-0242,2024-12-09,2024-12-12,Returned
SHP-0059,ORD-0487,2024-02-14,2024-02-16,In Transit
SHP-0060,ORD-0088,2024-06-02,2024-06-04,Delivered
SHP-0061,ORD-0113,2024-08-16,2024-08-21,Delivered
SHP-0062,ORD-0426,2024-04-29,2024-05-06,In Transit
SHP-0063,ORD-0478,2024-02-10,2024-02-13,In Transit
SHP-0064,ORD-0308,2024-02-26,2024-02-28,Delivered
SHP-0065,ORD-0074,2024-12-07,2024-12-12,Delivered
SHP-0066,ORD-0407,2024-12-23,2024-12-28,In Transit
SHP-0067,ORD-0299,2024-12-27,2024-12-31,Delivered
SHP-0068,ORD-0449,2024-01-10,2024-01-13,Delivered
SHP-0069,ORD-0393,2024-09-09,2024-09-14,Delivered
SHP-0070,ORD-0094,2024-07-14,2024-07-20,Returned
SHP-0071,ORD-0320,2024-11-20,2024-11-25,Delivered
SHP-0072,ORD-0338,2024-06-26,2024-06-30,Delivered
SHP-0073,ORD-0262,2024-01-28,2024-02-03,Delivered
SHP-0074,ORD-0136,2024-05-08,2024-05-14,Delivered
SHP-0075,ORD-0462,2024-02-25,2024-03-02,Delivered
SHP-0076,ORD-0371,2024-07-16,2024-07-23,Returned
SHP-0077,ORD-0352,2024-12-02,2024-12-04,Returned
SHP-0078,ORD-0176,2024-08-09,2024-08-11,Delivered
SHP-0079,ORD-0233,2024-04-24,2024-04-29,Delivered
SHP-0080,ORD-0306,2024-03-25,2024-03-28,Delivered
SHP-0081,ORD-0482,2024-01-31,2024-02-06,Returned
SHP-0082,ORD-0036,2024-11-26,2024-12-03,Returned
SHP-0083,ORD-0493,2024-11-02,2024-11-08,Delivered
SHP-0084,ORD-0194,2024-05-02,2024-05-08,Delivered
SHP-0085,ORD-0198,2024-10-06,2024-10-08,Delivered
SHP-0086,ORD-0068,2024-12-18,2024-12-22,Delivered
SHP-0087,ORD-0056,2024-09-20,2024-09-25,Delivered
SHP-0088,ORD-0009,2024-06-21,2024-06-25,Delivered
SHP-0089,ORD-0104,2024-05-28,2024-05-31,Delivered
SHP-0090,ORD-0268,2024-06-18,2024-06-22,Delivered
SHP-0091,ORD-0259,2024-03-13,2024-03-15,Delivered
SHP-0092,ORD-0351,2024-09-27,2024-10-03,Delivered
SHP-0093,ORD-0215,2024-02-02,2024-02-07,Delivered
SHP-0094,ORD-0077,2024-06-12,2024-06-17,In Transit
SHP-0095,ORD-0444,2024-06-01,2024-06-08,Delivered
SHP-0096,ORD-0050,2024-11-04,2024-11-06,Delivered
SHP-0097,ORD-0091,2024-04-09,2024-04-15,Delivered
SHP-0098,ORD-0244,2024-07-29,2024-08-04,Delivered
SHP-0099,ORD-0315,2024-07-23,2024-07-28,Delivered
SHP-0100,ORD-0437,2024-05-23,2024-05-27,In Transit
SHP-0101,ORD-0020,2024-04-25,2024-04-27,Returned
SHP-0102,ORD-0273,2024-05-10,2024-05-15,Returned
SHP-0103,ORD-0258,2024-08-10,2024-08-17,In Transit
SHP-0104,ORD-0386,2024-10-12,2024-10-17,Delivered
SHP-0105,ORD-0495,2024-04-26,2024-04-30,In Transit
SHP-0106,ORD-0048,2024-01-22,2024-01-29,Returned
SHP-0107,ORD-0442,2024-02-24,2024-03-02,Delivered
SHP-0108,ORD-0429,2024-06-11,2024-06-18,Returned
SHP-0109,ORD-0067,2024-10-05,2024-10-07,Delivered
SHP-0110,ORD-0498,2024-08-19,2024-08-21,Delivered
SHP-0111,ORD-0277,2024-10-06,2024-10-11,In Transit
SHP-0112,ORD-0001,2024-11-16,2024-11-20,In Transit
SHP-0113,ORD-0348,2024-03-20,2024-03-26,Delivered
SHP-0114,ORD-0333,2024-12-07,2024-12-12,In Transit
SHP-0115,ORD-0221,2024-01-14,2024-01-20,Delivered
SHP-0116,ORD-0411,2024-10-27,2024-10-30,Delivered
SHP-0117,ORD-0216,2024-04-17,2024-04-23,Delivered
SHP-0118,ORD-0190,2024-05-22,2024-05-24,Delivered
SHP-0119,ORD-0475,2024-02-04,2024-02-08,Delivered
SHP-0120,ORD-0358,2024-08-14,2024-08-21,Delivered
SHP-0121,ORD-0272,2024-08-04,2024-08-07,Delivered
SHP-0122,ORD-0220,2024-12-23,2024-12-26,In Transit
SHP-0123,ORD-0418,2024-10-11,2024-10-13,In Transit
SHP-0124,ORD-0394,2024-10-13,2024-10-17,Delivered
SHP-0125,ORD-0196,2024-06-22,2024-06-29,Delivered
SHP-0126,ORD-0180,2024-09-02,2024-09-06,Delivered
SHP-0127,ORD-0302,2024-03-29,2024-04-01,Delivered
SHP-0128,ORD-0357,2024-08-27,2024-08-30,Delivered
SHP-0129,ORD-0295,2024-02-29,2024-03-02,In Transit
SHP-0130,ORD-0051,2024-08-13,2024-08-17,Returned
SHP-0131,ORD-0218,2024-07-19,2024-07-24,Delivered
SHP-0132,ORD-0470,2024-04-06,2024-04-11,In Transit
SHP-0133,ORD-0131,2024-04-28,2024-04-30,Delivered
SHP-0134,ORD-0245,2024-03-28,2024-04-02,Returned
SHP-0135,ORD-0120,2024-02-14,2024-02-17,Returned
SHP-0136,ORD-0043,2024-03-03,2024-03-10,Delivered
SHP-0137,ORD-0448,2024-06-05,2024-06-10,In Transit
SHP-0138,ORD-0466,2024-08-30,2024-09-04,Delivered
SHP-0139,ORD-0279,2024-06-29,2024-07-05,Delivered
SHP-0140,ORD-0210,2024-07-30,2024-08-01,Delivered
SHP-0141,ORD-0132,2024-04-12,2024-04-18,Returned
SHP-0142,ORD-0097,2024-11-13,2024-11-19,Returned
SHP-0143,ORD-0003,2024-05-04,2024-05-10,Returned
SHP-0144,ORD-0004,2024-03-25,2024-03-27,Delivered
SHP-0145,ORD-0296,2024-10-16,2024-10-19,In Transit
SHP-0146,ORD-0385,2024-05-22,2024-05-29,Delivered
SHP-0147,ORD-0396,2024-12-21,2024-12-23,In Transit
SHP-0148,ORD-0267,2024-08-21,2024-08-23,Delivered
SHP-0149,ORD-0451,2024-10-03,2024-10-09,In Transit
SHP-0150,ORD-0193,2024-05-29,2024-06-02,Delivered
SHP-0151,ORD-0336,2024-09-18,2024-09-20,Delivered
SHP-0152,ORD-0106,2024-08-09,2024-08-11,In Transit
